split,y_true,y_pred
train,42.0,44.32271606569381
train,44.0,52.88109105379855
train,63.0,47.701257516864516
train,42.0,41.94696832343997
train,61.0,59.79580484682394
train,54.0,46.272397213809164
train,44.0,43.81564214569338
train,61.0,59.22730383059589
train,59.0,58.117951305567665
train,56.0,56.99986275388506
train,63.0,49.3368648517384
train,61.0,58.61997975777079
train,68.0,54.0261154105252
train,68.0,41.59028313255651
train,54.0,58.58040911348343
train,30.0,44.35002744826601
train,54.0,62.426359653511625
train,46.0,48.030860765546194
train,36.0,28.17122852415221
train,36.0,38.980579893676975
train,15.0,28.304983304462155
train,38.0,34.43953618199097
train,48.0,52.213397693587304
train,38.0,37.17713338042074
train,50.0,52.63212101578611
train,63.0,52.3808028237673
train,15.0,28.64423336799787
train,59.0,59.54349981389153
train,46.0,49.53320078370911
train,59.0,43.90936912272185
train,50.0,44.62522017405316
train,44.0,42.43461440331949
train,50.0,52.43419372267225
train,54.0,47.085596307221266
train,54.0,63.44976536701405
train,24.0,22.14239821998872
train,38.0,36.051256984057645
train,54.0,57.57456301649709
train,52.0,51.26996886723578
train,34.0,38.113950136941305
train,54.0,59.97463249847395
train,63.0,45.74140217794045
train,68.0,58.62596925435541
train,18.0,19.003834547984965
train,61.0,59.65788114362914
train,61.0,48.30166047096409
train,18.0,33.59753237242409
train,44.0,48.38347960032884
train,61.0,53.51725755226649
train,56.0,50.96792436530155
train,68.0,56.50274420565972
train,15.0,27.155227888520823
train,24.0,20.143999346144582
train,48.0,52.12405517119271
train,46.0,51.24323207921743
train,54.0,51.69444386201611
train,52.0,51.43765022955849
train,38.0,35.10062232748671
train,42.0,32.714363917228894
train,46.0,45.67765070587369
train,38.0,32.59585742873713
train,50.0,52.46159805965122
train,18.0,15.933083540717146
train,42.0,34.77880851805723
train,30.0,37.93814514473203
train,34.0,34.81332204069961
train,44.0,43.28950097654219
train,59.0,58.1287233618643
train,24.0,22.178073017288884
train,50.0,54.88436879021219
train,63.0,49.69732091226842
train,38.0,37.45150191076647
train,18.0,21.134207291749235
train,18.0,22.955634391650566
train,52.0,47.855413062691184
train,38.0,36.52474025955159
train,54.0,54.14484106667429
train,50.0,47.87325333293194
train,30.0,34.0888361088078
train,40.0,41.13014901107332
train,61.0,46.14418995659264
train,44.0,43.51293694080596
train,30.0,38.90682620760083
train,63.0,52.854386963913
train,63.0,46.75338059059145
train,36.0,41.39340847612886
train,52.0,51.430566859413204
train,18.0,14.476932543863448
train,30.0,34.99311965711428
train,52.0,53.791991729698275
train,48.0,53.46214825172577
train,18.0,26.35152821267919
train,63.0,58.96892620429422
train,59.0,58.23009592889899
train,42.0,44.441348646007434
train,59.0,47.67392606265866
train,68.0,58.41087451983111
train,38.0,38.29577199895349
train,50.0,52.97756404503641
train,50.0,51.55959754001536
train,61.0,56.99184088291699
train,36.0,17.213166976160235
train,15.0,42.53201356924652
train,54.0,47.084276524680774
train,54.0,59.768871580177866
train,44.0,47.26342791370591
train,63.0,53.695525027869934
train,18.0,28.72203311868025
train,30.0,29.133165223167033
train,63.0,46.30521425157642
train,36.0,48.24751413684779
train,59.0,51.65705076808579
train,18.0,13.557075997557092
train,42.0,42.23135259134125
train,48.0,52.90336863737342
train,44.0,44.969251650722434
train,54.0,59.237343268049486
train,61.0,57.16747473411602
train,34.0,30.615537019503094
train,24.0,25.816188205818108
train,18.0,20.084617834417234
train,50.0,48.16508312022877
train,63.0,49.81748229342553
train,18.0,26.769002797078635
train,36.0,32.97427458514571
train,50.0,52.75874830160429
train,15.0,42.847607536519455
train,44.0,44.77188869229104
train,63.0,49.57445084096555
train,44.0,41.723855042326576
train,61.0,60.515215050217364
train,56.0,57.078106552270285
train,50.0,48.31400334730504
train,46.0,43.049732712582276
train,24.0,24.46363334194371
train,44.0,41.40874003708579
train,24.0,27.54654427067083
train,50.0,49.053877246662964
train,59.0,62.90668933033347
train,46.0,50.23496988856714
train,42.0,39.88712805203507
train,24.0,24.275352181581873
train,40.0,43.768489568885926
train,63.0,47.05335984699919
train,68.0,45.14537845091189
train,36.0,30.213877640225178
train,15.0,26.1758835880629
train,44.0,39.35846539170075
train,59.0,53.786011242326836
train,59.0,48.00657397933753
train,61.0,58.687275229496585
train,63.0,53.07577556812542
train,40.0,92.87231686648184
train,50.0,45.018062816473986
train,59.0,42.89259353025493
